city,city_ascii,lat,lng,pop,country,iso2,iso3,province,id
Qal eh-ye Now,Qal eh-ye,34.98300013,63.13329964,2997,Afghanistan,AF,AFG,Badghis,1
Chaghcharan,Chaghcharan,34.5167011,65.25000063,15000,Afghanistan,AF,AFG,Ghor,2
Lashkar Gah,Lashkar Gah,31.58299802,64.35999955,201546,Afghanistan,AF,AFG,Hilmand,3
Zaranj,Zaranj,31.11200108,61.88699752,49851,Afghanistan,AF,AFG,Nimroz,4
Tarin Kowt,Tarin Kowt,32.63329815,65.86669865,10000,Afghanistan,AF,AFG,Uruzgan,5
Zareh Sharan,Zareh Sharan,32.85000016,68.41670453,13737,Afghanistan,AF,AFG,Paktika,6
Asadabad,Asadabad,34.86600004,71.15000459,48400,Afghanistan,AF,AFG,Kunar,7
Taloqan,Taloqan,36.72999904,69.54000364,64256,Afghanistan,AF,AFG,Takhar,8
Mahmud-E Eraqi,Mahmud-E Eraqi,35.01669608,69.33330065,7407,Afghanistan,AF,AFG,Kapisa,9
Mehtar Lam,Mehtar Lam,34.65000001,70.16670052,17345,Afghanistan,AF,AFG,Laghman,10
Baraki Barak,Baraki Barak,33.9667021,68.96670354,22305,Afghanistan,AF,AFG,Logar,11
Aybak,Aybak,36.26100015,68.04000051,24000,Afghanistan,AF,AFG,Samangan,12
Mayda Shahr,Mayda Shahr,34.45000209,68.79999663,35008,Afghanistan,AF,AFG,Wardak,13
Karokh,Karokh,34.48676963,62.59177608,14388.5,Afghanistan,AF,AFG,Hirat,14
Sheberghan,Sheberghan,36.65798077,65.73830237,74441,Afghanistan,AF,AFG,Jawzjan,15
Pol-e Khomri,Pol-e Khomri,35.95107302,68.70111894,41029,Afghanistan,AF,AFG,Baghlan,16
Balkh,Balkh,36.75011985,66.89973018,147426,Afghanistan,AF,AFG,Balkh,17
Meymaneh,Meymaneh,35.93022158,64.77009273,199795,Afghanistan,AF,AFG,Faryab,18
Andkhvoy,Andkhvoy,36.93165916,65.10149369,50469,Afghanistan,AF,AFG,Faryab,19
Qalat,Qalat,32.11226341,66.8867594,12191,Afghanistan,AF,AFG,Zabul,20
Ghazni,Ghazni,33.56331179,68.41782873,129892.5,Afghanistan,AF,AFG,Ghazni,21
Feyzabad,Feyzabad,37.12976076,70.57924719,52490,Afghanistan,AF,AFG,Badakhshan,22
Kondoz,Kondoz,36.72795066,68.87252966,210855.5,Afghanistan,AF,AFG,Kunduz,23
Jalalabad,Jalalabad,34.44152692,70.43610347,401697,Afghanistan,AF,AFG,Nangarhar,24
Charikar,Charikar,35.01826174,69.16791215,53676,Afghanistan,AF,AFG,Parwan,25
Gardiz,Gardiz,33.60005373,69.21462764,82680.5,Afghanistan,AF,AFG,Paktya,26
Bamian,Bamian,34.82106447,67.52103593,61863,Afghanistan,AF,AFG,Bamyan,27
Baghlan,Baghlan,36.13933026,68.69925858,163598.5,Afghanistan,AF,AFG,Baghlan,28
Farah,Farah,32.39172955,62.09681921,58604,Afghanistan,AF,AFG,Farah,29
Herat,Herat,34.33000917,62.16999304,439232.5,Afghanistan,AF,AFG,Hirat,30
Mazar-e Sharif,Mazar-e Sharif,36.69999371,67.10002803,365432.5,Afghanistan,AF,AFG,Balkh,31
Kandahar,Kandahar,31.61002016,65.69494584,613871,Afghanistan,AF,AFG,Kandahar,32
Kabul,Kabul,34.51669029,69.18326005,3160266,Afghanistan,AF,AFG,Kabul,33
Mariehamn,Mariehamn,60.09699618,19.94900447,10682,Aland,AX,ALD,Finström,34
Kruje,Kruje,41.51899817,19.79700359,21286,Albania,AL,ALB,Durrës,35
Fier,Fier,40.73000402,19.5730026,69747.5,Albania,AL,ALB,Fier,36
